8/Jun/2016,Ebay,24.25,24.34,24.11,24.23,7722400,24.23
8/Jun/2016,Facebook,117.76,118.6,117.27,118.39,14368700,118.39
8/Jun/2016,GLF,4.15,4.41,4.15,4.3,315400,4.3
8/Jun/2016,YesBank,1065.5,1066.1,1044.9,1053.8,2932500,1053.8
8/Jun/2016,TCS,2617.25,2628.55,2605.5,2613.1,469100,2613.1
8/Jun/2016,Ford,13.08,13.21,13.04,13.18,25423100,13.18
8/Jun/2016,Gail,374.45,378.8,371.15,374.7,724600,374.7
8/Jun/2016,Maruti,4150,4171.65,4124.15,4160.45,32300,4125.53
8/Jun/2016,Volkswagen,138.97,139.88,137.42,137.42,700,137.31
8/Jun/2016,Apollo,1353,1378.5,1348,1360.8,270100,1360.8
8/Jun/2016,RelianceCom,49.3,50.1,48.6,49.5,19449000,49.25
8/jun/2016,Apple,99.02,99.56,98.68,98.94,20848100,98.94
8/jun/2016,Honda,27.4,27.45,27.26,27.35,473000,27.35
8/jun/2016,Int,1495.2,1514.7,1490.15,1511.2,2216800,1511.2
8/jun/2016,SBI,210.15,211.9,207.55,210.7,35163000,210.7
9/Jun/2016,Ebay,24.19,24.38,24.07,24.33,7908900,24.33
9/Jun/2016,Facebook,118.13,118.68,117.71,118.56,13823400,118.56
9/Jun/2016,GLF,4.16,4.19,3.98,4.13,209200,4.13
9/Jun/2016,YesBank,1053.8,1059.7,1036.65,1040.05,2659600,1040.05
9/Jun/2016,TCS,2622.4,2622.4,2555.2,2577.25,781000,2577.25
9/Jun/2016,Ford,13.23,13.45,13.18,13.38,27493500,13.38
9/Jun/2016,Gail,374.95,379.45,372.95,375.95,1301000,375.95
9/Jun/2016,Maruti,4142.15,4190.5,4138,4169,73200,4134.01
9/Jun/2016,Volkswagen,136.18,136.18,132.88,134.22,800,134.11
9/Jun/2016,Apollo,1367,1394.4,1352.65,1388.55,216700,1388.55
9/Jun/2016,RelianceCom,49.45,49.6,48.3,48.8,12712500,48.8
9jun/2016,Apple,98.5,99.99,98.46,99.65,26601400,99.65
9/jun/2016,Honda,26.96,26.98,26.8,26.89,566400,26.89
9/jun/2016,Int,1511.3,1513.7,1487.1,1491.45,1209100,1491.45
9/jun/2016,SBI,210,212.8,208.3,209.95,27858100,209.95
10/Jun/2016,Ebay,24.16,24.27,23.91,24.07,7665400,24.07
10/Jun/2016,Facebook,117.54,118.11,116.26,116.62,18412700,116.62
10/Jun/2016,GLF,3.87,4.02,3.82,3.82,320600,3.82
10/Jun/2016,YesBank,1042.6,1068.4,1040.6,1063.3,3495300,1063.3
10/Jun/2016,TCS,2566,2603.25,2553.2,2555.75,698400,2555.75
10/Jun/2016,Ford,13.45,13.49,13.35,13.36,18027800,13.36
10/Jun/2016,Gail,376.45,380.6,366.8,368.95,1420500,368.95
10/Jun/2016,Maruti,4161,4192.5,4101,4117.6,83400,4083.04
10/Jun/2016,Volkswagen,134.17,134.3,131.4,132.55,1300,132.44
10/Jun/2016,Apollo,1388.9,1388.9,1340.45,1355.3,301400,1355.3
10/Jun/2016,RelianceCom,49,50.1,48.8,49.2,16798500,49.2
10/jun/2016,Apple,98.53,99.35,98.48,98.83,31712900,98.83
